SKU,Stock,Regular price,UPC
B08GG8WJRZ,5,95.82,82677004307
B08L9R5592,0,125.99,69858247074
B08R4YBJ5X,0,0,
B08QDW4JQL,0,101.63,58465818463
B08HSQ3YFR,10,71.99,58465812805
B01M6W6KPB,10,70.91,
B00DMI632G,10,19.99,25706347532
B005PO558I,10,34.25,736211514691
B082XCHTHD,10,47.99,842893120638
B07T2LCKNF,0,0,817915026137
B085W3GN5J,10,75.16,810043371766
B0B6JLHTCM,0,0,
B08R6KMBQT,5,87.96,810028584327
B08K8T3W2V,5,119.99,810043373036
B09WKY88B1,0,0,
B079Q671Q5,10,27.99,11172431745
B00XCHCCC2,10,32,11172431301
B00MYXCVUI,10,31.38,11172431455
B07T2LGN8P,0,0,817915026113
B0BCWYKPZ7,0,0,
B0936FGLQS,10,66.32,810043374538
B0B35C8Y9M,0,0,
B09K6MK5VN,5,152.79,810028585560
B0B82XKSSH,0,0,
B0895GS9NW,5,159.99,810043371421
B0B35BT8F8,0,0,
B07VT23JDM,5,111.16,857561008842
B0B86S36F9,0,0,
B08NB1VGBK,5,171.6,810028582187
B00005IBXJ,0,91.99,21112255287
B01LZZGH3R,10,27.99,829486146077
B0B9YD8GLR,0,0,
B0764492S9,10,63.92,75536462226
B096L33K8Y,5,118.39,75536450254
B096KZVR6H,10,79.92,75536450438
B013FDOY96,10,63.92,75536463032
B08R55BQW5,10,63.92,75536463261
B002NU6LOY,10,23.96,11172447036
B003CFBS06,10,21.78,11172447005
B019N9W93O,5,104,76501132823
B01C5QSENQ,10,18.35,783956541840
B00Q8HN0NI,0,0,679113375093
B01JYY7M5S,10,67.99,817354011633
B00CBOFS8M,10,31.99,850003903026
B0016WRHUW,10,37.08,23063954639
B09P1GN6PN,10,31.99,850034374253
B0007ZF4OA,10,19.99,94733085892
B09ZYP6JL8,0,0,
B07BVRMHWS,10,15.99,817915022979
B09DRLH65R,0,0,
B09DR857JF,10,37.99,817354014726
B01JYY7M0S,10,35.99,817354011602
B0845MP57D,0,0,
B016HM7QRE,10,12.15,713382790994
B083YYS862,10,25.97,54269003715
B083Z6VDD7,10,22.26,54269003708
B000KC009Y,10,50.79,47815001006
B086J89L6J,0,0,
B005G0XFEM,10,31.98,76501082203
B0742T8LRM,0,0,
B08WNMF4C4,0,85.99,815457020101
B00HWF6L54,0,0,
B089X51CJD,10,39.2,815457020088
B09GBSRYW2,0,0,
B0006A3042,10,38.24,717056114925
B0B7VV5XMP,0,0,
B06W53ZJ8J,10,10.39,856757006563
B010XQZIBQ,10,10.39,827165730135
B0169N1YMO,10,20.24,69877730700
B01MTXBOA6,10,11.99,304061104418
B06XP2Y5Z5,10,13.02,365250703096
B09R88DBB3,0,0,
B08C3M7M9M,0,0,40094254835
B08C3PGW29,0,0,40094254828
B00EI7DPOO,0,0,40094920853
B0B82RGQLG,0,0,
B06XSGK3JR,10,20.42,817096013841
B07MLJR4M7,10,13.24,817096015142
B07M6ZVKJR,10,19.71,817096015173
B0776YPYG6,10,15.98,817096014176
B073ZGGCWX,0,0,
B073ZGDY1R,5,7.99,850030330062
B01GFQFGFQ,5,6.7,728293063334
B078YTR8P8,5,6.78,850030330048
B09SV5PM9T,0,0,
B094PVXBWT,10,15.19,850027619323
B098RDGJNQ,5,112.01,622356582711
B094XBQ7S5,0,69.99,86279189547
B08K1C7V1N,10,55.99,86279182043
B09QH1R2LW,10,55.9,86279198648
B004UBMRKG,0,49.99,791769497292
B0BBWGG4T4,0,0,
B0872YWPK8,0,0,
B009GQ034C,10,31.12,86279046819
B009GQ032E,10,39.96,86279046826
B00D25P82U,10,49.59,86279049476
B0B96C3PWW,5,115.16,
B0BC8Z8ZHY,0,0,
B01BOU6DLE,5,109.2,611247358986
B09XC8TZ7F,5,86.38,
B0BDSNDZB8,0,0,
B09Y9LL7L4,0,0,
B09XRMLLBS,0,44.2,
B0000CFNE3,0,33.05,45473141614
B0B6V4LRKJ,10,34.72,
B0B498Q6W6,0,109.94,
B077KBYKDG,0,99.95,86279132871
B09DXZ9R4Y,5,138.39,701705957056
B0BBTWZQP1,0,0,
B08BGB9Q62,10,22.03,885395103129
B00FFLY64U,10,22.39,34687233307
B08BH5BGDW,10,22.39,885395103143
B09M86L3QB,0,0,
B01LQ2PZDW,10,20.79,699965336844
B00LOCYKIQ,10,14.9,
B06VYHSYJX,10,33.59,699965336806
B075X1KPLZ,10,27.98,
B00KVZ27UA,10,18.32,40094923687
B0000BYCFU,5,124.39,71160329331
B08YT1894V,0,0,
B07588SJHN,0,0,859716007205
B076FL9GSR,5,87.99,86279129338
B0BCL354SY,0,0,
B00K0JY7XW,5,129.46,32406054783
B01C8DZI8K,5,115.99,32406058538
B00EXLOW38,10,49.76,32406107373
B07LB4X26D,0,0,
B07QXFGN5V,0,0,
B09WX7VJR7,0,0,
B09SBSGLSS,0,150,622356588294
B09Y74DVZQ,0,0,
B0B29HKMD8,0,49.99,86279201706
B0791T3QN5,0,0,86279096722
B000TVQVB2,0,44.95,39919612172
B08Y5VWQ1J,0,0,86279185587
B0000645YL,0,38,86279000309
B09Z7LS5MD,0,0,
B01JCECRTG,0,199.95,86279097606
B0B6V3JG9M,0,129.9,
B00MVWGFP4,0,141.34,86279080370
B00MVWGFKO,0,99.95,86279078179
B07H622BV5,5,159.96,86279146656
B07J21SZZX,0,0,
B0B6DKN3G3,0,0,
B07HBFWTX1,10,49.48,883049481357
B09F74BXMQ,0,69.99,883049543246
B0B3GFD2JB,10,56.51,883049588674
B0B3GNZSVP,10,58.42,883049594514
B07H9VK28C,10,52.79,883049481302
B087Z34G2Q,0,0,
B085VSMPH3,0,0,86279161345
B082DM585M,10,51.99,818558025228
B07Q5JNWHF,0,0,
B001QTVT4A,0,0,719812025599
B08BFS92RP,10,62.39,810043372220
B07VXVFKWV,10,31.99,817915026694
B09F7Y1LBF,0,0,
B097TCR97P,5,172,818558028472
B0B2WYJNP3,10,79.99,811572027865
B0B2WYCY98,10,79.99,811572027827
B097TCJQC4,5,127.96,818558028489
B0B2WXXBYK,10,79.99,811572027841
B0B2VBZ1ZR,0,0,
B003KYSLMW,5,84.98,86279168092
B0831R2K9N,0,0,86279174543
B0041A3KPC,10,67.53,86279031990
B08Y5R23LD,0,0,86279186843
B08K275CBP,0,0,86279182548
B0BB1G8XXX,0,0,
B0016HF5GK,5,98.44,11120000535
B097H6YNPW,0,0,
B08TDG7J15,10,29.44,12000207426
B083XB2K68,10,21.06,12000194658
B09QQQ6YSC,0,33.1,
B08CF97MBG,10,33.54,
B0B495SJP8,10,42.32,
B09L4WJ3TP,10,43.18,
B0B48Z27H3,10,33.52,
B0B8FRX8MX,0,0,
B0BD3RTTRR,0,0,
B08PP48979,10,22.38,810043373425
B095ZKF2GB,0,0,
B01GJOMWYC,10,34.21,50875817760
B002LAREDS,0,0,50875535855
B0922HN79S,0,0,
B091V9TL1B,10,41.81,
B09CHTZ4LG,0,0,
B001J1L59E,10,20.76,741393116977
B002R0EXP4,10,8.79,735343835537
B001J1L58K,10,28.34,21112345827
B00GFLN1AY,10,17.59,741393127690
B00GFLN136,10,14.17,14445108115
B06XPF39MH,0,0,
B09XB4CWGS,0,0,
B076VB5JFQ,5,119.99,687636002402
B07TFKWQ9G,10,14.39,682863401110
B07H7CKJLG,10,21.59,680499802172
B07H65KP63,0,0,
B07PM8SY6G,10,38.2,810006770841
B077NMPKBL,10,31.11,21241169547
B00FLYWNYQ,10,79.2,810028585201
B00C8C5I8M,10,23.19,634154356722
B092YYTTT5,10,47.99,885837024449
B09NGXCSD1,0,0,
B09G91CC89,0,8.02,
B00IE76Q7M,5,2.58,10900205177
B0737N6LWX,0,4.79,10900205030
B071K9D76J,0,0,
B08ZNM7746,0,0,
B08ZNL29JQ,10,32.07,
B08ZNFDNJ8,10,34.84,
B072K19MQV,10,16.42,853084004804
B008BKHGX0,10,27.96,853084004002
B001CH0ZLE,0,34.99,40094626823
B09MT71Q8K,0,0,
B09GXDDDRD,10,27.98,883049623627
B09MSNJ68V,0,63.79,883049623641
B09GYRFLC8,0,39.99,883049623634
B09MSP9FSZ,10,54.93,883049623658
B09GYQWXTB,10,38.96,883049623610
B09W3HY713,0,0,
B07GK7XKJK,10,75.61,883049478456
B01MSCRLJP,0,29.89,717056125105
B09YVVQMN3,0,0,
B08VRQ9KZP,0,26.49,817096017337
B00B58A0QU,10,43.55,817096011618
B00H4O1L9Y,0,189.39,10942214984
B08F2V36XK,0,125,86279174963
B00KLVY3TW,0,121.19,40094253616
B088DJJKZF,0,0,
B0B491D622,0,148.65,
B08CF6ZVMN,5,94.92,
B076FKHRLD,5,103.99,27043996190
B06XYBQM27,0,0,
B000K69SY8,0,90,40094316052
B07C9MZ53G,0,0,
B07C9CFNKG,5,119.72,752356824587
B07CT57D1L,0,0,
